symbol,score,oos_ic,train_ic,train_oos_gap,hit_rate_oos,hit_rate_train,n_signals,chosen_alpha,a,b,c,d,alpha_is_high
ELC,0.375619844245429,0.3107038012892091,0.5044580264551566,0.19375422516594748,0.7083333333333334,0.6386138613861386,24,1000.0,40,240,60,35,True
EVE,0.3970879379161536,0.33002470421235697,0.5242413256975854,0.19421662148522845,0.2,0.6511111111111111,55,1000.0,90,270,60,15,True
EVF,0.31625866173086997,0.6706241692323218,0.5038753646912381,-0.16674880454108376,0.5,0.6358490566037736,0,1000.0,180,130,60,25,True
EVG,0.3973284818472697,0.39557299980196226,0.496353382835996,0.10078038303403375,0.10909090909090909,0.6594059405940594,55,1000.0,160,220,45,40,True
FCM,0.3879224896854821,0.598121748574116,0.47431203816719375,-0.12380971040692229,0.15384615384615385,0.6589147286821705,13,1000.0,180,300,55,10,True
FCN,0.416394579166033,0.42536431783960427,0.5492074022719289,0.12384308443232461,0.3333333333333333,0.6576763485477178,18,432.87612810830615,200,140,50,20,False
FDC,0.18662336139499372,0.2516136398712303,0.47762165705396614,0.22600801718273583,0.5217391304347826,0.5289421157684631,46,1000.0,280,110,30,20,True
FIR,0.46777799337792053,0.29468632343110335,0.5346235548733727,0.2399372314422693,0.13157894736842105,0.7053571428571429,38,1000.0,160,140,45,10,True
FIT,0.43785508491473857,0.42985363098167734,0.595242550996524,0.16538892001484667,0.1836734693877551,0.6602150537634408,49,187.3817422860385,290,180,35,5,False
FMC,0.4603153743780333,0.5219439739209186,0.5045215406919383,-0.017422433228980294,0.42857142857142855,0.7108433734939759,7,1000.0,290,180,50,5,True
FPT,0.5073800809761019,0.32603302651940097,0.564117237665913,0.23808421114651207,0.5,0.7291666666666666,22,1000.0,240,220,60,20,True
FRT,0.404748201406486,0.2985456602278961,0.4866584679750195,0.1881128077471234,1.0,0.6688206785137318,7,1000.0,160,150,35,5,True
FTS,0.4458572288343995,0.28712740270052317,0.527931907037455,0.2408045043369318,0.35,0.6893203883495146,20,1000.0,90,260,25,30,True
GAS,0.32720834642069774,0.2575513307637671,0.4102800681680079,0.1527287374042408,0.40476190476190477,0.6317757009345795,42,1000.0,100,180,40,35,True
GDT,0.5059448175919073,0.6098064535220672,0.6028208227853388,-0.006985630736728421,0.3333333333333333,0.7162162162162162,6,1000.0,210,160,60,15,True
GEG,0.34762752849321393,0.2736280775431567,0.5050748764508474,0.23144679890769065,0.5416666666666666,0.616600790513834,48,1000.0,70,40,25,25,True
GEX,0.47916314020724277,0.4706271559879865,0.589700981508522,0.11907382552053553,0.35185185185185186,0.6964856230031949,54,1000.0,300,20,60,40,True
GHC,0.3431021133235123,0.4256608762350594,0.44564860042003035,0.019987724184970967,0.35294117647058826,0.6355140186915887,17,187.3817422860385,290,20,30,10,False
GIL,0.5092487079415565,0.5105360115651033,0.5393458631181404,0.028809851553037058,0.3548387096774194,0.7383419689119171,31,1000.0,130,270,30,40,True
GMD,0.4252702577454512,0.37762689713539405,0.5480112932296745,0.1703843960942804,0.5208333333333334,0.6666666666666666,48,1000.0,70,20,30,30,True
GMH,0.3997854901059375,0.30567786039058936,0.5189135312272802,0.21323567083669087,0.41379310344827586,0.6561085972850679,29,1000.0,120,70,15,10,True
GSP,0.42973378980259364,0.3615882493750245,0.5156645229053005,0.15407627353027603,0.3684210526315789,0.6816720257234726,19,1000.0,120,270,45,40,True
GTA,0.3045714792031661,0.30528701184154644,0.45432871461966906,0.14904170277812262,0.2222222222222222,0.597872340425532,9,1000.0,140,140,60,20,True
GVR,0.41103874645971833,0.4731123565031347,0.49936819316351394,0.026255836660379228,0.76,0.669826224328594,25,1000.0,40,250,15,25,True
HAG,0.4439319231327235,0.5665548119703444,0.5169418767973261,-0.04961293517301835,0.23076923076923078,0.6913793103448276,13,1000.0,280,30,25,15,True
HAH,0.42385243346659135,0.37361024531719567,0.5115985067997142,0.13798826148251853,0.3617021276595745,0.6764275256222547,47,1000.0,50,120,55,10,True
HAP,0.45074011299404565,0.4035992624466345,0.5815600870636636,0.17796082461702906,0.8,0.676271186440678,15,1000.0,210,70,55,35,True
HAR,0.39540384948239365,0.28476005668553556,0.5154327006290609,0.23067264394352532,0.038461538461538464,0.6514423076923077,26,1000.0,130,190,45,20,True
HAS,0.30891827147209405,0.39875892362635296,0.4715689201478546,0.07280999652150166,0.5294117647058824,0.5942982456140351,34,1000.0,110,250,40,10,True
HAX,0.4832210854881435,0.5763237052905504,0.5764622467942887,0.00013854150373826535,0.34782608695652173,0.7042801556420234,46,1000.0,180,30,35,30,True
HCD,0.3746274148051753,0.5401392798619443,0.532255156731248,-0.007884123130696308,0.16,0.6285211267605634,50,1000.0,210,20,50,10,True
HCM,0.44906005770918783,0.4110615560497166,0.4806909752185281,0.06962941916881149,0.5166666666666667,0.7077363896848138,60,1000.0,170,40,25,35,True
HDB,0.44331795718761763,0.5990686284666298,0.5494645630416867,-0.04960406542494311,0.8333333333333334,0.6815114709851552,30,1000.0,140,140,45,35,True
HDC,0.49800916496945014,0.5865219016951224,0.6288439898716115,0.04232208817648908,0.29545454545454547,0.7087576374745418,44,432.87612810830615,170,300,50,25,False
HDG,0.4823555973558513,0.7494008421415954,0.5502342314848663,-0.19916661065672914,0.24444444444444444,0.7123015873015873,45,1000.0,20,90,55,40,True
HHP,0.33536279140097597,0.25321035703593714,0.5028108530837427,0.2496004960478056,0.6041666666666666,0.6073211314475874,48,1000.0,220,70,55,30,True
HHS,0.5518478260869565,0.5884221227442973,0.6130104186074377,0.024588295863140375,0.4117647058823529,0.7536231884057971,17,1000.0,160,290,30,10,True
HHV,0.4724014763793884,0.30021169048476326,0.5360941362174876,0.23588244573272432,0.2564102564102564,0.7087198515769945,39,1000.0,20,110,60,30,True
HID,0.29705530603600827,0.7444301067652994,0.48600280253495465,-0.25842730423034477,0.625,0.579295154185022,8,1000.0,100,170,35,15,True
HII,0.367451159141998,0.2907937328728277,0.4613185758210965,0.17052484294826875,0.5925925925925926,0.6461864406779662,54,1000.0,90,20,30,25,True
HMC,0.390544818999699,0.4593456461129559,0.5539166484036225,0.09457100229066662,1.0,0.63718820861678,11,187.3817422860385,270,280,40,40,False
HNA,0.42385829155745464,0.6108464912487674,0.5320656510103747,-0.07878084023839271,0.43243243243243246,0.6718213058419243,37,81.11308307896873,260,140,15,15,False
HPG,0.38023136070160907,0.2683847507104696,0.5111162259976167,0.24273147528714717,0.16666666666666666,0.6415711947626841,30,1000.0,130,170,50,15,True
HPX,0.16383712772772938,0.6473309086112212,0.4201751215703578,-0.22715578704086342,0.3684210526315789,0.5243553008595988,57,1000.0,100,170,35,15,True
HQC,0.5117508172441922,0.4743377475842589,0.5882132500070324,0.1138755024227735,0.25,0.7241379310344828,40,1000.0,40,170,60,15,True
HRC,0.27666072058414415,0.49386734850613717,0.4145125397153939,-0.07935480879074325,0.2,0.5861297539149888,60,1000.0,290,290,55,20,True
HSG,0.4491442601404747,0.29952214761615326,0.5349517718465137,0.2354296242303604,0.2857142857142857,0.6897196261682244,28,1000.0,200,20,30,40,True
HSL,0.3980584622443893,0.27670141184062325,0.48071581003861885,0.2040143981979956,0.7209302325581395,0.6652267818574514,43,1000.0,120,160,55,10,True
HT1,0.5012723361976359,0.3498114389214208,0.5978994751804367,0.24808803625901593,0.7272727272727273,0.7121771217712177,11,1000.0,150,30,20,30,True
HTG,0.2960964747619854,0.3383426932215696,0.3978298814087097,0.05948718818714005,0.6296296296296297,0.6105960264900663,27,1000.0,50,130,40,30,True
HTI,0.28784903780249343,0.4037923101074687,0.40392119893592554,0.00012888882845685234,0.25,0.6029593094944513,44,1000.0,190,240,35,20,True
HTL,0.3644667858492819,0.5079869694473177,0.48943188999633885,-0.01855507945097884,0.4727272727272727,0.6343283582089553,55,1000.0,220,160,30,40,True
HTN,0.5323920863309352,0.5988917193943207,0.6185345103988407,0.019642791004519933,0.8461538461538461,0.737410071942446,13,1000.0,150,30,60,20,True
HTV,0.35737682307827173,0.36499317862146247,0.5018486192628965,0.136855440641434,0.4107142857142857,0.6267857142857143,56,432.87612810830615,250,30,50,30,False
HU1,0.45949271329765534,0.3633948732551535,0.5834230787906969,0.22002820553554336,0.44,0.6821862348178138,25,1000.0,220,200,60,30,True
HUB,0.4234881300261363,0.47840150575467777,0.5044285986293923,0.026027092874714497,0.14285714285714285,0.6795180722891566,7,1000.0,250,20,30,30,True
HVH,0.3235184966902525,0.40727333041623065,0.49839063157484853,0.09111730115861788,0.29411764705882354,0.5974235104669887,17,1000.0,200,30,30,5,True
HVN,0.45066675563474884,0.6263053500807048,0.5543796041920345,-0.07192574588867029,1.0,0.6845124282982792,7,1000.0,250,220,45,35,True
ICT,0.3195194267639307,0.3517805104759063,0.5120724827651212,0.16029197228921488,0.7142857142857143,0.5904255319148937,21,1000.0,110,80,60,20,True
IDI,0.5197131464358847,0.538583080688195,0.5262471518039976,-0.012335928884197433,0.2903225806451613,0.7514285714285714,31,1000.0,70,260,60,20,True
IJC,0.5252482092640224,0.4476235444816206,0.5780964332242957,0.1304728887426751,0.5263157894736842,0.7387580299785867,19,1000.0,240,160,15,30,True
ILB,0.3579765443116453,0.3427485375991617,0.4930793221422215,0.15033078454305981,0.5517241379310345,0.6299810246679317,29,1000.0,20,280,60,40,True
IMP,0.4454617464998962,0.5705587972498071,0.5695656678358013,-0.0009931294140057556,0.5,0.6761006289308176,8,1000.0,130,290,50,15,True
ITC,0.38147801229059597,0.6054520951074016,0.5080769862113865,-0.09737510889601508,0.18604651162790697,0.6422893481717011,43,1000.0,60,30,20,5,True
ITD,0.32422640315733253,0.3940856325280205,0.5046694512530725,0.11058381872505202,0.6,0.5957820738137083,10,1000.0,30,280,60,25,True
